construct,standard,host,kind,iso_clause,std_ref,arabic,aramaic,assamese,bengali,dari,gujarati,hebrew,hindi,kannada,kashmiri,malayalam,marathi,nepali,odia,pali,pashto,persian,phoenician,prakrit,punjabi,sanskrit,shahmukhi,sindhi,syriac,tamil,telugu,urdu
CPP_GETS,gets,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,माला_लो,,,,,,,,,,,,,,,,,,,
CPP_GETUID,getuid,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_GID_T,gid_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_GMTIME,gmtime,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,स_जमट,,,,,,,,,,,,,,,,,,,
CPP_GOTO,goto,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,जाओ,,,,,,,,,,,,,,,,,,,جاؤ
CPP_IF,if,cpp,identifier,,ISO/IEC 14882:2020,إذا,𐡄𐡍,যদি,যদি,إذا,જો,אם,यदि,ಆದರೆ,إذا,എങ്കിൽ,जर,यदि,ଯଦି,सचे,إذا,اگر,𐤀𐤌,जइ,ਜੇ,यदि,إذا,إذا,ܐܢ,எனில்,ఒకవేళ,اگر
CPP_INLINE,inline,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,अंतरभूत,,,,,,,,,,,,,,,,,,,
CPP_INO_T,ino_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_INT,int,cpp,identifier,,ISO/IEC 14882:2020,صحيح,שלם,পূৰ্ণসংখ্যা,পূর্ণসংখ্যা,صحيح,પૂર્ણાંક,שלם,पूर्णांक,ಪೂರ್ಣಾಂಕ,صحيح,പൂർണ്ണസംഖ്യ,पूर्णांक,पूर्णाङ्क,ପୂର୍ଣ୍ଣସଂଖ୍ୟା,पूर्णङ्क,صحيح,صحیح,שלם,पुण्णंक,ਪੂਰਨਅੰਕ,पूर्णाङ्क,صحيح,صحيح,שלם,முழு,పూర్ణాంకం,صحیح
CPP_ISALNUM,isalnum,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_अक्षर_अंक,,,,,,,,,,,,,,,,,,,
CPP_ISALPHA,isalpha,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_अक्षर,,,,,,,,,,,,,,,,,,,
CPP_ISATTY,isatty,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ISCNTRL,iscntrl,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_नियंत्रण,,,,,,,,,,,,,,,,,,,
CPP_ISDIGIT,isdigit,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_अंक,,,,,,,,,,,,,,,,,,,
CPP_ISFINITE,isfinite,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_सीमित,,,,,,,,,,,,,,,,,,,
CPP_ISGRAPH,isgraph,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_चित्र,,,,,,,,,,,,,,,,,,,
CPP_ISLOWER,islower,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_छोटा,,,,,,,,,,,,,,,,,,,
CPP_ISNAN,isnan,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ISNORMAL,isnormal,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_ISODIGIT,isodigit,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_अष्टक,,,,,,,,,,,,,,,,,,,
CPP_ISPRINT,isprint,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_छाप,,,,,,,,,,,,,,,,,,,
CPP_ISPUNCT,ispunct,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_विराम,,,,,,,,,,,,,,,,,,,
CPP_ISSPACE,isspace,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_खाली,,,,,,,,,,,,,,,,,,,
CPP_ISUPPER,isupper,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_बड़ा,,,,,,,,,,,,,,,,,,,
CPP_ISXDIGIT,isxdigit,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,है_षष्ठादशक,,,,,,,,,,,,,,,,,,,
CPP_ITOA,itoa,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_JMP_BUF,jmp_buf,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,लाँघ_बफ,,,,,,,,,,,,,,,,,,,
CPP_KILL,kill,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,समाप्त,,,,,,,,,,,,,,,,,,,
CPP_LABS,labs,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द_असल,,,,,,,,,,,,,,,,,,,
CPP_LCONV,lconv,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,स्था_बदल,,,,,,,,,,,,,,,,,,,
CPP_LDEXP,ldexp,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LDIV,ldiv,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द_भाग,,,,,,,,,,,,,,,,,,,
CPP_LDIV_T,ldiv_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,द_भाग_प्रकार,,,,,,,,,,,,,,,,,,,
CPP_LINK,link,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LOCALECONV,localeconv,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,क्षेत्र_बदलो,,,,,,,,,,,,,,,,,,,
CPP_LOCALTIME,localtime,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,स_स्थानीय,,,,,,,,,,,,,,,,,,,
CPP_LOG,log,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LOG10,log10,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LOG2,log2,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_LONG,long,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,दीर्घ,,,,,,,,,,,,,,,,,,,طویل
CPP_LONGJMP,longjmp,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,दीर्घ_लाँघ,,,,,,,,,,,,,,,,,,,
CPP_LSEEK,lseek,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_MALLOC,malloc,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,दो_स्मृति,,,,,,,,,,,,,,,,,,,
CPP_MBLEN,mblen,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_MBSTOWCS,mbstowcs,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_MBTOWC,mbtowc,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_MEMCHR,memchr,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,स_प्रथम,,,,,,,,,,,,,,,,,,,
CPP_MEMCMP,memcmp,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,स_भेद,,,,,,,,,,,,,,,,,,,
CPP_MEMCPY,memcpy,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,स_नकल,,,,,,,,,,,,,,,,,,,
CPP_MEMMOVE,memmove,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,स_हटाओ,,,,,,,,,,,,,,,,,,,
CPP_MEMSET,memset,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,स_रखो,,,,,,,,,,,,,,,,,,,
CPP_MKDIR,mkdir,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,सूची_गढ़ो,,,,,,,,,,,,,,,,,,,
CPP_MKFIFO,mkfifo,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_MKTIME,mktime,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,स_गढ़ो,,,,,,,,,,,,,,,,,,,
CPP_MODE_T,mode_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_MODF,modf,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_NEW,new,cpp,identifier,7.6.2.8,ISO/IEC 14882:2020,جديد,חדש,নতুন,নতুন,جديد,નવું,חדש,नवीन,ಹೊಸ,جديد,പുതിയ,नवीन,नयाँ,ନୂତନ,नव,جديد,جدید,חדש,णव,ਨਵਾਂ,नूतन,جديد,جديد,חדש,புதிய,కొత్త,نیا
CPP_NLINK_T,nlink_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_NTOHL,ntohl,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_NTOHS,ntohs,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_OFF_T,off_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_OFFSETOF,offsetof,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,दुरत्व,,,,,,,,,,,,,,,,,,,
CPP_OPEN,open,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,खोलो,,,,,,,,,,,,,,,,,,,
CPP_OPENDIR,opendir,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,सूची_खोलो,,,,,,,,,,,,,,,,,,,
CPP_OPERATOR,operator,cpp,identifier,12.4,ISO/IEC 14882:2020,,,,,,,,चालक,,,,,,,,,,,,,,,,,,,
CPP_PASSWD,passwd,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_PAUSE,pause,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,छोड़ो,,,,,,,,,,,,,,,,,,,
CPP_PCLOSE,pclose,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_PERROR,perror,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,लिखो_त्रुटि,,,,,,,,,,,,,,,,,,,
CPP_PID_T,pid_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_PIPE,pipe,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_POPEN,popen,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_POW,pow,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,घात,,,,,,,,,,,,,,,,,,,
CPP_POW2,pow2,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_PRINTF,printf,cpp,identifier,,ISO/IEC 14882:2020,اكتب,כתוב,লিখক,লেখো,اكتب,લખો,כתוב,लिखो,ಬರೆ,اكتب,എഴുതുക,लिहा,लेख,ଲେଖନ୍ତୁ,लिख,اكتب,بنویس,כתוב,लिह,ਲਿਖੋ,लिख,اكتب,اكتب,כתוב,எழுது,వ్రాయి,لکھو
CPP_PRIVATE,private,cpp,identifier,11,ISO/IEC 14882:2020,خاص,פרטי,ব্যক্তিগত,ব্যক্তিগত,خاص,ખાનગી,פרטי,निजी,ಖಾಸಗಿ,خاص,സ്വകാര്യ,खाजगी,निजी,ବ୍ୟକ୍ତିଗତ,गुत्त,خاص,خصوصی,פרטי,गुत्त,ਨਿਜੀ,गुप्त,خاص,خاص,פרטי,தனிப்பட்ட,అంతరంగ,نجی
CPP_PROTECTED,protected,cpp,identifier,11,ISO/IEC 14882:2020,,,,,,,,रक्षित,,,,,,,,,,,,,,,,,,,
CPP_PSIGNAL,psignal,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_PTRDIFF_T,ptrdiff_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,सूचक_भेद_प्रकार,,,,,,,,,,,,,,,,,,,
CPP_PUBLIC,public,cpp,identifier,11,ISO/IEC 14882:2020,عام,ציבורי,ৰাজহুৱা,সর্বজনীন,عام,જાહેર,ציבורי,सार्वजनिक,ಸಾರ್ವಜನಿಕ,عام,പൊതു,सार्वजनिक,सार्वजनिक,ସର୍ବସାଧାରଣ,साधारण,عام,عمومی,ציבורי,साहत्त,ਜਨਤਕ,सार्वजनिक,عام,عام,ציבורי,பொது,బహిరంగ,عوامی
CPP_PUTC,putc,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,अ_दो,,,,,,,,,,,,,,,,,,,
CPP_PUTCHAR,putchar,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,अक्षर_दो,,,,,,,,,,,,,,,,,,,
CPP_PUTS,puts,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,माला_दो,,,,,,,,,,,,,,,,,,,
CPP_QSORT,qsort,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,क्विक,,,,,,,,,,,,,,,,,,,
CPP_RAISE,raise,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,उठाओ,,,,,,,,,,,,,,,,,,,اٹھاؤ
CPP_RAND,rand,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,अक्रम,,,,,,,,,,,,,,,,,,,
CPP_RAND48,rand48,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_READ,read,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,पढ़ो,,,,,,,,,,,,,,,,,,,
CPP_READDIR,readdir,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,सूची_पढ़ो,,,,,,,,,,,,,,,,,,,
CPP_REALLOC,realloc,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,पुनः_स्मृति,,,,,,,,,,,,,,,,,,,
CPP_REGISTER,register,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,रेजिस्टर,,,,,,,,,,,,,,,,,,,رجسٹر
CPP_REMOVE,remove,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,हटाओ,,,,,,,,,,,,,,,,,,,
CPP_RENAME,rename,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,नाम,,,,,,,,,,,,,,,,,,,
CPP_RETURN,return,cpp,identifier,,ISO/IEC 14882:2020,أرجع,החזר,ঘূৰাই,ফেরত,أرجع,પાછા,החזר,लौटाओ,ಹಿಂತಿರುಗಿಸು,أرجع,മടക്കുക,परत,फर्काऊ,ଫେରାଅ,पटिनिवत्त,أرجع,بازگرد,החזר,निअत्त,ਵਾਪਸ,प्रत्यागम,أرجع,أرجع,ܦܢܐ,திரும்பு,తిరిగి,واپس
CPP_REWIND,rewind,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,शुरुआत,,,,,,,,,,,,,,,,,,,
CPP_REWINDDIR,rewinddir,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,सूची_शुरु,,,,,,,,,,,,,,,,,,,
CPP_RMDIR,rmdir,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,सूची_हटाओ,,,,,,,,,,,,,,,,,,,
CPP_RUN_CHILD,run_child,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SCANF,scanf,cpp,identifier,,ISO/IEC 14882:2020,اقرأ,קרא,পঢ়ক,পড়ো,اقرأ,વાંચો,קרא,पढ़ो,ಓದು,اقرأ,വായിക്കുക,वाचा,पढ,ପଢନ୍ତୁ,पठ,اقرأ,بخوان,קרא,पढ,ਪੜ੍ਹੋ,पठ,اقرأ,اقرأ,קרא,படி,చదువు,پڑھو
CPP_SETBUF,setbuf,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,रखो_बफ,,,,,,,,,,,,,,,,,,,
CPP_SETENV,setenv,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SETGID,setgid,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SETJMP,setjmp,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,बनाओ_लाँघ,,,,,,,,,,,,,,,,,,,
CPP_SETLOCALE,setlocale,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,रखो_क्षेत्र,,,,,,,,,,,,,,,,,,,
CPP_SETPGID,setpgid,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SETSID,setsid,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SETUID,setuid,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SETVBUF,setvbuf,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,रखो_भबफ,,,,,,,,,,,,,,,,,,,
CPP_SHORT,short,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,लघु,,,,,,,,,,,,,,,,,,,مختصر
CPP_SIG_ATOMIC_T,sig_atomic_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,संक_पूर्ण_प्रकार,,,,,,,,,,,,,,,,,,,
CPP_SIGACTION,sigaction,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SIGADDSET,sigaddset,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SIGEMPTYSET,sigemptyset,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SIGFILLSET,sigfillset,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SIGISMEMBER,sigismember,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SIGJMP_BUF,sigjmp_buf,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SIGLONGJMP,siglongjmp,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SIGNAL,signal,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,संकेत,,,,,,,,,,,,,,,,,,,
CPP_SIGNED,signed,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,चिन्हित,,,,,,,,,,,,,,,,,,,علامتی
CPP_SIGPENDING,sigpending,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,संक_बाकी,,,,,,,,,,,,,,,,,,,
CPP_SIGPROCMASK,sigprocmask,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SIGSET_T,sigset_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SIGSETJMP,sigsetjmp,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SIGSUSPEND,sigsuspend,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,संक_रोको,,,,,,,,,,,,,,,,,,,
CPP_SIN,sin,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SINH,sinh,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SIZE_T,size_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,माप_प्रकार,,,,,,,,,,,,,,,,,,,
CPP_SIZEOF,sizeof,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,माप,,,,,,,,,,,,,,,,,,,حجم
CPP_SLEEP,sleep,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SPEED_T,speed_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SPRINTF,sprintf,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,प्र_लिखो,,,,,,,,,,,,,,,,,,,
CPP_SQRT,sqrt,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,वर्ग_मूल,,,,,,,,,,,,,,,,,,,
CPP_SRAND,srand,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,बेक्रम,,,,,,,,,,,,,,,,,,,
CPP_SSCANF,sscanf,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,माला_पूछो,,,,,,,,,,,,,,,,,,,
CPP_SSIZE_T,ssize_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_STACKAVAIL,stackavail,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_STAT,stat,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_STATFS,statfs,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_STATIC,static,cpp,identifier,,ISO/IEC 14882:2020,ساكن,סטטי,স্থিৰ,স্থির,ساكن,સ્થિર,סטטי,स्थिर,ಸ್ಥಿರ,ساكن,സ്ഥിതം,स्थिर,स्थिर,ସ୍ଥିର,ठित,ساكن,ایستا,סטטי,ठिअ,ਸਥਿਰ,स्थिर,ساكن,ساكن,סטטי,நிலையான,స్థిర,ساکن
CPP_STDERR,stderr,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,मानक_त्रुटि,,,,,,,,,,,,,,,,,,,
CPP_STDIN,stdin,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,मानक_निवेश,,,,,,,,,,,,,,,,,,,
CPP_STDOUT,stdout,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,मानक_निकास,,,,,,,,,,,,,,,,,,,
CPP_STKCOLL,stkcoll,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_STRCAT,strcat,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_जोड़ो,,,,,,,,,,,,,,,,,,,
CPP_STRCHR,strchr,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_अक्षर,,,,,,,,,,,,,,,,,,,
CPP_STRCMP,strcmp,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_भेद,,,,,,,,,,,,,,,,,,,
CPP_STRCOLL,strcoll,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_STRCPY,strcpy,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_नकल,,,,,,,,,,,,,,,,,,,
CPP_STRCSPN,strcspn,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_खोज,,,,,,,,,,,,,,,,,,,
CPP_STRERROR,strerror,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_त्रुटि,,,,,,,,,,,,,,,,,,,
CPP_STRFTIME,strftime,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,स_माला,,,,,,,,,,,,,,,,,,,
CPP_STRLEN,strlen,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_माप,,,,,,,,,,,,,,,,,,,
CPP_STRNCAT,strncat,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_जोड़न,,,,,,,,,,,,,,,,,,,
CPP_STRNCMP,strncmp,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_भेदन,,,,,,,,,,,,,,,,,,,
CPP_STRNCPY,strncpy,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_नकलन,,,,,,,,,,,,,,,,,,,
CPP_STRPBRK,strpbrk,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_STRRCHR,strrchr,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_खोजप,,,,,,,,,,,,,,,,,,,
CPP_STRSEP,strsep,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_STRSPN,strspn,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_अखोज,,,,,,,,,,,,,,,,,,,
CPP_STRSTR,strstr,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_माला,,,,,,,,,,,,,,,,,,,
CPP_STRTOD,strtod,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_से_भग्न,,,,,,,,,,,,,,,,,,,
CPP_STRTOK,strtok,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_मोहर,,,,,,,,,,,,,,,,,,,
CPP_STRTOL,strtol,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_से_दीर्घ,,,,,,,,,,,,,,,,,,,
CPP_STRTOUL,strtoul,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,म_से_अदीर्घ,,,,,,,,,,,,,,,,,,,
CPP_STRUCT,struct,cpp,identifier,,ISO/IEC 14882:2020,بنية,מבנה,গঠন,কাঠামো,بنية,સંરચના,מבנה,संरचना,ರಚನೆ,بنية,ഘടന,संरचना,संरचना,ସଂରଚନା,सङ्घट,بنية,ساختار,מבנה,संघड,ਬਣਤਰ,संरचना,بنية,بنية,מבנה,கட்டமைப்பு,నిర్మాణం,ساخت
CPP_STRXFRM,strxfrm,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SWITCH,switch,cpp,identifier,,ISO/IEC 14882:2020,بدل,בחר,নিৰ্বাচন,নির্বাচন,بدل,પસંદગી,בחר,चयन,ಆಯ್ಕೆ,بدل,തിരഞ്ഞെടുപ്പ്,निवड,चयन,ବାଛ,विकप्प,بدل,انتخاب,בחר,विअप्प,ਚੋਣ,विकल्प,بدل,بدل,בחר,தேர்வு,ఎంపిక,انتخاب
CPP_SYNC,sync,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SYS_ERRLIST,sys_errlist,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SYS_NERR,sys_nerr,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SYSCONF,sysconf,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_SYSTEM,system,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,प्रणाली,,,,,,,,,,,,,,,,,,,
CPP_TAN,tan,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_TANH,tanh,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_TCDRAIN,tcdrain,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_TCFLAG_T,tcflag_t,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_TCFLOW,tcflow,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPP_TCFLUSH,tcflush,cpp,identifier,,ISO/IEC 14882:2020,,,,,,,,,,,,,,,,,,,,,,,,,,,
